#REF!,Service Company Name:,,#ERROR!,UNCONVENTIONAL RESOURCES - WCO&PED,,,,,,,,,,,,,,,,,,,If Recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service Company Code:,,,,,,,,,,,#ERROR!,,HAZEM,,,,,,SIWHP (psig):,,6870,,,,,,,,,"Venturi meter Pipe Diameter ""D"" (mm):",,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Service Company Rep:,,,,,,,,,,,Well Number:,,,,,,,,Separator Daniel Gas Meter Size (in):,,5.761,ok,,,,,,,,"Venturi meter Throat Diameter ""d"" (mm):",,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Client :,,,,,,,,,,,#ERROR!,,,#ERROR!,,,,,K factor (Cp/Cv):,,,,,,,,,,,U/S Choke Pressure - Before Test (Psig):,,ok,,,PCV - Before Test (%):,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Site Number:,401,refer to comment,Vendor Coordinator Contact Name:,,,,,,,,Secondary HID:,,,,#ERROR!,,,,U/S Pipe ID (in):,,,,,,,,,,,U/S Choke Temperature - Before Test (ºF):,,ok,,,"Choke Size - Before Test (  /64""):",,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rig Name:,Rig-Less,,Vendor Coordinator Contact Phone:,,,,,,,,Well Suffix,,,,,,,,,Start Date,8/31/21 4:00,End Date,,,,,,,,D/S Choke Pressure - Before Test (Psig):,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Test Type:,DELIVERABILITY TEST WITH SMS,refer to comment,Vendor Coordinator Contact email:,,,,,,,,Wellbore,,,,,,,,Date factor,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,,,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE,CLICK HERE
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
,Date & Time,REMARKS,WELLHEAD / CHOKE CONDITIONS,,,,,,,,,,,,,SEPARATOR,,,,,,METER VALUES,,FLOW RATE PER DAY AT STANDARD CONDITIONS,,,,,,Estimated Daily Flow Rates by Equation.,,INSTANTANEOUS FLOW RATE AT SEPARATOR CONDITIONS,,,FLUID COMPOSITION,,,,,,,,,GROSS RATES,,CUMULATIVE RATE ,,,ANNULI,,,,,,,,VENTURI METER,,,SOLIDS INFORMATION,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GAS,,,,,OIL ,,WATER,,,,,,,TCA,TCA,TCA / CCA,TCA / CCA,CCA,CCA,CCA,CCA,,,,,,,,,,,,,,,,
,For extended flowbacks. Enter the date that raw data starts,,Choke Size 1,"U/S Desander
Pressure
Pressure ","U/S Filter Pressure
","U/S Choke
Pressure 1","U/S Desander
Temperature
Temp","D/S Choke
Pressure 1","D/S Choke
Temp 1","Choke Size
2","D/S Choke
Pressure 2","D/S Choke
Temp 2",Gas Velocity,BS&W at Choke,"Prod. Line
Pressure","Separator
Pressure","Gas
Temp.",Diff. Pressure ,BS&W at Oiline,Orif. Plate Size Diam. ,"Oil
Temp.",Oil Meter correction factor,Water meter correction factor,Gas Rate,Oil Rate,Water Rate,CGR,GOR at S.C,"IPR
at Surface",Est Gas Rate New Equ.,Est Gas Rate Old Equ.,Oil Rate,Water rate,GOR at Sep Conditions,Gas Specific Gravity,CO2,H2S,Z (factor),Viscosity,Oil Gravity at 60 ºF,"Oil Shrinkage at 60 ºF
(1-SHK)",Water PH,Chloride,Oil,Water,Gas,Oil,Water,2 x 5,2 x 5,5 x 9,5 x 9,9 x 13,9 x 13,13 x 18,13 x 18,Static Pressure,Diff. Pressure ,Temp,Type of Recovery,Sand,Prop ,Sand,Prop,Cumm Sand,Cumm Prop,"Recovery
Weight",Cumm Weight,Delta Weight per Hour,Delta Weight per Hour per MMSCFD,Target Solids (lbs),Criteria
,,"Enter ""End of Job"" on the final row.","/64th""",Psig,Psig,Psig,oF,Psig,oF,"/64th""",Psig,oF,ft/sec,%,Psig,Psig,oF,H2O Inches,%,Inches,oF,,,MMSCFD,STOBD,STWBD,STOBD/MMSCFD,SCF/STB,MMSCFD/psig^2,MMSCFD,MMSCFD,BBLS,BBLS,SCF/BBLS,,%,(ppm),,Pascal-second,°API ,,,ppm,Bbls,Bbls,MMSCF,STOB,STWB,Psig,oF,Psig,oF,Psig,oF,Psig,oF,Psig,H2O Inches,oF,"Sand, Proppant, or Both",%,%,(lbs),(lbs),(lbs),(lbs),(lbs),(lbs),(lbs per hr),"(lbs per hr)/
MMSCFD",0.2 lbs / MMSCFD / 24 hrs,0.2 lbs / MMSCFD
,8/31/21 4:00,,8,4575,4574,5889,85,1,85,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 4:15,,8,6039,6031,6022,84,1,84,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 4:30,,8,6037,6028,6020,84,1,84,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 4:45,,8,6035,6028,6020,83,1,84,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 5:00,,8,6036,6027,6020,83,1,83,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 5:15,,8,6035,6027,6019,82,1,83,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 5:30,,8,6035,6026,6019,82,1,83,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 5:45,,8,6034,6026,6018,82,1,83,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 6:00,,8,6034,6025,5937,83,1,83,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 6:15,,14,5799,5790,5668,87,53,83,,,,,,,,,,,,,,,0.00,0,0,,,0.00,0.00,0.00,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
,8/31/21 6:30," 6:30 BSW= 98 %, CL= 60600 ppm, pH= 7",14,5649,5638,5629,99,8,93,,,,,98,,,,,,,,,,0.00,0,0,,,0.00,5.30,3.83,,,,,,,,,,,7.0,60600,,,0.0,0.0,0.0,,,0,,0,,0,,,,,,,,0.00,0.00,0.00,0.00,,0.00,0.00,,0.00,0.00
